ID;USD;EUR;JPY;GBP;CAD;CHF;INR;CNY;TRY;SAR;IDR;AED;THB;VND;EGP;KRW;RUB;ZAR;AUD
33387;361,5;284,8;49.907,00;208,6;414,1;528,3;7.472,00;1.926,80;1,5;1.366,40;701.024,30;1.338,00;9.303,50;2.868.032,00;1.195,30;263.985,80;0;1.015,50;477,2
33388;361,1;286,2;49.745,60;210,3;414,3;529;7.491,30;1.942,90;1,5;1.358,80;706.882,10;1.330,30;9.234,00;2.891.997,50;1.205,30;262.863,00;0;1.019,10;478,7
33389;360,4;288,9;49.902,40;212,1;412,8;534;7.527,30;1.959,40;1,5;1.358,50;712.877,60;1.330,20;9.212,60;2.916.526,20;1.215,50;262.950,00;0;1.024,00;477,5
33392;363;292;50.467,20;213,8;415,8;540,5;7.527,30;1.955,10;1,5;1.360,20;708.341,50;1.331,90;9.280,80;2.859.202,50;1.182,60;262.541,70;0;1.026,70;478,6
33393;362,4;290,3;50.221,10;212,8;415;537,9;7.609,80;1.945,60;1,5;1.353,60;704.886,60;1.325,40;9.256,90;2.845.257,30;1.219,40;261.000,60;0;1.020,80;476,3
33394;362,4;291,5;50.419,50;213,9;415;542,2;7.608,40;1.955,30;1,5;1.358,80;708.421,80;1.330,50;9.271,20;2.859.526,70;1.182,70;264.266,40;0;1.022,20;476,6
33395;364,9;294,6;50.793,70;216,1;418;547,9;7.655,80;1.976,10;1,5;1.368,80;715.957,40;1.340,40;9.376,30;2.889.944,20;1.195,30;267.077,50;0;1.035,90;485,5
33396;367;299,2;51.487,60;219,6;420,8;557,1;7.724,20;2.007,40;1,5;1.383,00;727.286,50;1.354,30;9.419,30;2.935.673,60;1.214,20;268.839,00;0;1.042,10;488,3
33399;372,2;303,5;52.810,10;222,9;426,4;562,8;7.756,00;2.010,30;1,6;1.392,60;727.740,90;1.363,60;9.561,30;2.983.399,40;1.218,00;270.458,20;0;1.062,40;495
33400;371,3;303,5;52.381,60;223,4;425,6;561,8;7.804,70;2.014,80;1,6;1.401,20;729.376,80;1.372,00;9.558,20;2.990.106,10;1.269,30;271.278,40;0;1.058,00;491,9
33401;372;307,3;52.787,70;226,1;425,5;569,7;7.783,60;2.039,10;1,6;1.405,80;738.179,40;1.376,60;9.562,80;3.026.192,70;1.284,60;272.229,40;0;1.064,80;494,4
33402;369,7;305,8;52.100,60;225,1;421,3;566,6;7.739,70;2.030,00;1,6;1.386,80;734.865,80;1.358,00;9.474,90;3.012.608,30;1.278,80;268.160,40;0;1.058,80;487,9
33403;367,8;304,1;51.686,90;224,2;420,6;563,4;7.713,80;2.022,60;1,6;1.375,30;732.193,20;1.346,70;9.462,80;3.001.651,90;1.274,20;265.761,30;0;1.057,80;486,3
33406;366,8;304,9;51.699,30;225,5;418,4;566,6;7.667,50;1.975,20;1,6;1.378,20;720.133,80;1.349,50;9.426,50;2.983.000,10;1.204,30;266.367,10;0;1.053,50;482,6
33407;370,3;310,3;52.122,10;229,6;422,3;578,1;7.820,60;2.011,10;1,6;1.391,60;733.218,60;1.368,40;9.528,90;3.037.201,30;1.248,50;271.115,10;0;1.072,20;486,3
33408;367,4;304,5;51.424,70;225,1;420,1;564,9;7.771,10;1.971,20;1,6;1.357,70;718.660,20;1.329,50;9.441,00;2.976.896,20;1.223,70;262.710,70;0;1.050,40;479,6
33409;367,6;305,6;50.992,90;225,4;419,8;566,3;7.764,50;1.974,10;1,6;1.386,70;719.712,70;1.357,90;9.443,60;2.981.255,90;1.225,50;263.095,40;0;1.061,90;483,3
